"Tm,W,L,W-L%,Pts,PtsO,PtDif,MoV"
"New England Patriots*,13,3,.813,513,342,171,10.7"
"New York Jets,8,8,.500,377,363,14,0.9"
"Miami Dolphins,6,10,.375,329,313,16,1.0"
"Buffalo Bills,6,10,.375,372,434,-62,-3.9"
"Baltimore Ravens*,12,4,.750,378,266,112,7.0"
"Pittsburgh Steelers+,12,4,.750,325,227,98,6.1"
"Cincinnati Bengals+,9,7,.563,344,323,21,1.3"
"Cleveland Browns,4,12,.250,218,307,-89,-5.6"
"Houston Texans*,10,6,.625,381,278,103,6.4"
"Tennessee Titans,9,7,.563,325,317,8,0.5"
"Jacksonville Jaguars,5,11,.313,243,329,-86,-5.4"
"Indianapolis Colts,2,14,.125,243,430,-187,-11.7"
"Denver Broncos*,8,8,.500,309,390,-81,-5.1"
"San Diego Chargers,8,8,.500,406,377,29,1.8"
"Oakland Raiders,8,8,.500,359,433,-74,-4.6"
"Kansas City Chiefs,7,9,.438,212,338,-126,-7.9"
