Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Arian Foster*+\FostAr00,HOU,24,RB,16,13,327,1616,16,74,4.9,101.0,3
2,Jamaal Charles*+\CharJa00,KAN,24,rb/wr,16,6,230,1467,5,80,6.4,91.7,3
3,Michael Turner*\TurnMi00,ATL,28,RB,16,15,334,1371,12,55,4.1,85.7,2
4,Chris Johnson*\JohnCh04,TEN,25,RB,16,16,316,1364,11,76,4.3,85.3,3
5,Maurice Jones-Drew*\DrewMa00,JAX,25,RB,14,14,299,1324,5,37,4.4,94.6,2
6,Adrian Peterson*\PeteAd01,MIN,25,RB,15,15,283,1298,12,80,4.6,86.5,1
7,Rashard Mendenhall\MendRa00,PIT,23,RB,16,16,324,1273,13,50,3.9,79.6,2
8,Steven Jackson*\JackSt00,STL,27,RB,16,16,330,1241,6,42,3.8,77.6,1
9,Ahmad Bradshaw\BradAh00,NYG,24,RB,16,11,276,1235,8,48,4.5,77.2,7
10,Ray Rice\RiceRa00,BAL,23,RB,16,14,307,1220,5,50,4.0,76.3,0
11,Peyton Hillis\HillPe00,CLE,24,RB,16,14,270,1177,11,48,4.4,73.6,8
12,Darren McFadden\McFaDa00,OAK,23,RB,13,13,223,1157,7,57,5.2,89.0,4
13,Cedric Benson\BensCe00,CIN,28,RB,16,16,321,1111,7,26,3.5,69.4,7
14,LeSean McCoy\McCoLe01,PHI,22,RB,15,13,207,1080,7,62,5.2,72.0,2
15,Matt Forte\FortMa00,CHI,25,RB,16,16,237,1069,6,68,4.5,66.8,3
16,BenJarvus Green-Ellis\GreeBe00,NWE,25,RB,16,11,229,1008,13,33,4.4,63.0,0
17,LeGarrette Blount\BlouLe00,TAM,24,rb,13,7,201,1007,6,53,5.0,77.5,4
18,Fred Jackson\JackFr02,BUF,29,RB,16,13,222,927,5,39,4.2,57.9,5
19,LaDainian Tomlinson\TomlLa00,NYJ,31,RB,15,13,219,914,6,31,4.2,60.9,3
20,Thomas Jones\JoneTh00,KAN,32,RB,16,10,245,896,6,70,3.7,56.0,3
21,Frank Gore\GoreFr00,SFO,27,RB,11,11,203,853,3,64,4.2,77.5,4
22,Brandon Jacobs\JacoBr00,NYG,28,rb,16,5,147,823,9,73,5.6,51.4,2
23,Felix Jones\JoneFe00,DAL,23,rb,16,7,185,800,1,34,4.3,50.0,2
