attributes,datatype,date,station,value
"T,,0,2400",PRCP,2009-09-10T00:00:00,GHCND:USW00094823,0
",,0,",SNOW,2009-09-10T00:00:00,GHCND:USW00094823,0
",,0,2400",PRCP,2009-09-13T00:00:00,GHCND:USW00093721,0
",,0,",SNOW,2009-09-13T00:00:00,GHCND:USW00093721,0
",,0,2400",PRCP,2009-09-13T00:00:00,GHCND:USW00013881,0
",,0,",SNOW,2009-09-13T00:00:00,GHCND:USW00013881,0
",,0,2400",PRCP,2009-09-13T00:00:00,GHCND:USW00014820,0
",,0,",SNOW,2009-09-13T00:00:00,GHCND:USW00014820,0
",,0,2400",PRCP,2009-09-13T00:00:00,GHCND:USW00014898,0
",,0,",SNOW,2009-09-13T00:00:00,GHCND:USW00014898,0
",,0,2400",PRCP,2009-09-13T00:00:00,GHCND:USW00014734,0
",,0,",SNOW,2009-09-13T00:00:00,GHCND:USW00014734,0
",,N,",PRCP,2009-09-13T00:00:00,GHCND:US1WAKG0038,0
",,N,",SNOW,2009-09-13T00:00:00,GHCND:US1WAKG0038,0
",,0,2400",PRCP,2009-09-13T00:00:00,GHCND:USW00012842,20
",,0,",SNOW,2009-09-13T00:00:00,GHCND:USW00012842,0
",,0,2400",PRCP,2009-09-14T00:00:00,GHCND:USC00190860,0
"P,,0,",SNOW,2009-09-14T00:00:00,GHCND:USC00190860,0
",,W,",PRCP,2009-09-14T00:00:00,GHCND:USW00023230,0
",,0,0600",PRCP,2009-09-20T00:00:00,GHCND:USW00023062,0
",,0,",SNOW,2009-09-20T00:00:00,GHCND:USW00023062,0
",,0,2400",PRCP,2009-09-20T00:00:00,GHCND:USW00014898,38
",,0,",SNOW,2009-09-20T00:00:00,GHCND:USW00014898,0
",,W,",PRCP,2009-09-20T00:00:00,GHCND:USW00093837,13
",,0,2400",PRCP,2009-09-20T00:00:00,GHCND:USW00014734,0
",,0,",SNOW,2009-09-20T00:00:00,GHCND:USW00014734,0
",,0,2400",PRCP,2009-09-20T00:00:00,GHCND:USW00013739,0
",,0,",SNOW,2009-09-20T00:00:00,GHCND:USW00013739,0
",,W,",PRCP,2009-09-20T00:00:00,GHCND:USW00093107,0
",,0,2400",PRCP,2009-09-20T00:00:00,GHCND:USW00023234,0
",,0,2400",PRCP,2009-09-20T00:00:00,GHCND:USW00013897,58
",,0,",SNOW,2009-09-20T00:00:00,GHCND:USW00013897,0
",,0,2400",PRCP,2009-09-21T00:00:00,GHCND:USW00012839,0
",,0,2400",PRCP,2009-09-27T00:00:00,GHCND:USW00093721,94
",,0,",SNOW,2009-09-27T00:00:00,GHCND:USW00093721,0
",,0,2400",PRCP,2009-09-27T00:00:00,GHCND:USC00190860,97
"P,,0,",SNOW,2009-09-27T00:00:00,GHCND:USC00190860,0
",,0,2400",PRCP,2009-09-27T00:00:00,GHCND:USW00014734,185
",,0,",SNOW,2009-09-27T00:00:00,GHCND:USW00014734,0
",,W,",PRCP,2009-09-27T00:00:00,GHCND:USW00023230,0
",,0,2400",PRCP,2009-09-27T00:00:00,GHCND:USW00013739,196
",,0,",SNOW,2009-09-27T00:00:00,GHCND:USW00013739,0
",,W,",PRCP,2009-09-27T00:00:00,GHCND:USW00093107,3
",,N,",PRCP,2009-09-27T00:00:00,GHCND:US1WAKG0038,0
",,N,",SNOW,2009-09-27T00:00:00,GHCND:US1WAKG0038,0
",,0,2400",PRCP,2009-09-27T00:00:00,GHCND:USW00012842,3
",,0,",SNOW,2009-09-27T00:00:00,GHCND:USW00012842,0
"T,,0,2400",PRCP,2009-10-04T00:00:00,GHCND:USW00014820,0
",,0,",SNOW,2009-10-04T00:00:00,GHCND:USW00014820,0
",,0,0600",PRCP,2009-10-04T00:00:00,GHCND:USW00023062,0
",,0,",SNOW,2009-10-04T00:00:00,GHCND:USW00023062,0
",,W,",PRCP,2009-10-04T00:00:00,GHCND:USW00093837,0
",,0,2400",PRCP,2009-10-04T00:00:00,GHCND:USW00012839,0
",,0,2400",PRCP,2009-10-04T00:00:00,GHCND:USC00190860,0
",,0,",SNOW,2009-10-04T00:00:00,GHCND:USC00190860,0
",,0,2400",PRCP,2009-10-04T00:00:00,GHCND:USW00094823,0
",,0,",SNOW,2009-10-04T00:00:00,GHCND:USW00094823,0
",,0,2400",PRCP,2009-10-04T00:00:00,GHCND:USW00023234,0
",,0,2400",PRCP,2009-10-11T00:00:00,GHCND:USW00093721,0
",,0,",SNOW,2009-10-11T00:00:00,GHCND:USW00093721,0
"T,,0,2400",PRCP,2009-10-11T00:00:00,GHCND:USW00013881,0
",,0,",SNOW,2009-10-11T00:00:00,GHCND:USW00013881,0
",,0,0600",PRCP,2009-10-11T00:00:00,GHCND:USW00023062,3
",,0,",SNOW,2009-10-11T00:00:00,GHCND:USW00023062,3
",,0,2400",PRCP,2009-10-11T00:00:00,GHCND:USW00014734,0
",,0,",SNOW,2009-10-11T00:00:00,GHCND:USW00014734,0
",,0,2400",PRCP,2009-10-11T00:00:00,GHCND:USW00013739,0
",,0,",SNOW,2009-10-11T00:00:00,GHCND:USW00013739,0
",,0,2400",PRCP,2009-10-11T00:00:00,GHCND:USW00023234,0
",,N,",PRCP,2009-10-11T00:00:00,GHCND:US1WAKG0038,0
",,N,",SNOW,2009-10-11T00:00:00,GHCND:US1WAKG0038,0
",,0,2400",PRCP,2009-10-11T00:00:00,GHCND:USW00013897,0
",,0,",SNOW,2009-10-11T00:00:00,GHCND:USW00013897,0
",,0,2400",PRCP,2009-10-12T00:00:00,GHCND:USW00012839,0
",,0,2400",PRCP,2009-10-18T00:00:00,GHCND:USW00014898,0
",,0,",SNOW,2009-10-18T00:00:00,GHCND:USW00014898,0
",,W,",PRCP,2009-10-18T00:00:00,GHCND:USW00093837,0
",,0,2400",PRCP,2009-10-18T00:00:00,GHCND:USC00190860,450
",,0,",SNOW,2009-10-18T00:00:00,GHCND:USC00190860,0
",,0,2400",PRCP,2009-10-18T00:00:00,GHCND:USW00014734,61
",,0,",SNOW,2009-10-18T00:00:00,GHCND:USW00014734,0
",,W,",PRCP,2009-10-18T00:00:00,GHCND:USW00023230,0
",,0,2400",PRCP,2009-10-18T00:00:00,GHCND:USW00094823,0
",,0,",SNOW,2009-10-18T00:00:00,GHCND:USW00094823,0
",,N,",PRCP,2009-10-18T00:00:00,GHCND:US1WAKG0038,124
",,0,2400",PRCP,2009-10-18T00:00:00,GHCND:USW00012842,0
",,0,",SNOW,2009-10-18T00:00:00,GHCND:USW00012842,0
",,W,",PRCP,2009-10-19T00:00:00,GHCND:USW00093107,0
",,0,2400",PRCP,2009-10-25T00:00:00,GHCND:USW00013881,0
",,0,",SNOW,2009-10-25T00:00:00,GHCND:USW00013881,0
",,0,2400",PRCP,2009-10-25T00:00:00,GHCND:USW00014820,0
",,0,",SNOW,2009-10-25T00:00:00,GHCND:USW00014820,0
",,0,2400",PRCP,2009-10-25T00:00:00,GHCND:USW00012839,0
",,0,2400",PRCP,2009-10-25T00:00:00,GHCND:USW00014734,0
",,0,",SNOW,2009-10-25T00:00:00,GHCND:USW00014734,0
",,W,",PRCP,2009-10-25T00:00:00,GHCND:USW00023230,3
",,0,2400",PRCP,2009-10-25T00:00:00,GHCND:USW00094823,0
",,0,",SNOW,2009-10-25T00:00:00,GHCND:USW00094823,0
",,0,2400",PRCP,2009-11-01T00:00:00,GHCND:USW00093721,104
",,0,",SNOW,2009-11-01T00:00:00,GHCND:USW00093721,0
",,0,2400",PRCP,2009-11-01T00:00:00,GHCND:USW00014898,0
",,0,",SNOW,2009-11-01T00:00:00,GHCND:USW00014898,0
",,0,2400",PRCP,2009-11-01T00:00:00,GHCND:USW00014734,3
",,0,",SNOW,2009-11-01T00:00:00,GHCND:USW00014734,0
",,0,2400",PRCP,2009-11-01T00:00:00,GHCND:USW00013739,8
",,0,",SNOW,2009-11-01T00:00:00,GHCND:USW00013739,0
",,W,",PRCP,2009-11-01T00:00:00,GHCND:USW00093107,0
",,0,2400",PRCP,2009-11-01T00:00:00,GHCND:USW00013897,0
",,0,",SNOW,2009-11-01T00:00:00,GHCND:USW00013897,0
",,W,",PRCP,2009-11-08T00:00:00,GHCND:USW00093837,0
",,0,2400",PRCP,2009-11-08T00:00:00,GHCND:USC00190860,0
",,0,",SNOW,2009-11-08T00:00:00,GHCND:USC00190860,0
",,0,2400",PRCP,2009-11-08T00:00:00,GHCND:USW00014734,0
",,0,",SNOW,2009-11-08T00:00:00,GHCND:USW00014734,0
",,0,2400",PRCP,2009-11-08T00:00:00,GHCND:USW00013739,0
",,0,",SNOW,2009-11-08T00:00:00,GHCND:USW00013739,0
",,0,2400",PRCP,2009-11-08T00:00:00,GHCND:USW00023234,0
",,N,",PRCP,2009-11-08T00:00:00,GHCND:US1WAKG0038,81
",,0,2400",PRCP,2009-11-08T00:00:00,GHCND:USW00012842,0
",,0,",SNOW,2009-11-08T00:00:00,GHCND:USW00012842,0
",,0,0600",PRCP,2009-11-09T00:00:00,GHCND:USW00023062,0
",,0,",SNOW,2009-11-09T00:00:00,GHCND:USW00023062,0
"T,,0,2400",PRCP,2009-11-12T00:00:00,GHCND:USW00023234,0
",,0,2400",PRCP,2009-11-15T00:00:00,GHCND:USW00013881,0
",,0,",SNOW,2009-11-15T00:00:00,GHCND:USW00013881,0
",,0,2400",PRCP,2009-11-15T00:00:00,GHCND:USW00014898,0
",,0,",SNOW,2009-11-15T00:00:00,GHCND:USW00014898,0
",,0,2400",PRCP,2009-11-15T00:00:00,GHCND:USW00012839,0
",,0,2400",PRCP,2009-11-15T00:00:00,GHCND:USW00014734,0
",,0,",SNOW,2009-11-15T00:00:00,GHCND:USW00014734,0
",,W,",PRCP,2009-11-15T00:00:00,GHCND:USW00023230,0
",,0,2400",PRCP,2009-11-15T00:00:00,GHCND:USW00094823,0
",,0,",SNOW,2009-11-15T00:00:00,GHCND:USW00094823,0
",,W,",PRCP,2009-11-15T00:00:00,GHCND:USW00093107,0
",,0,2400",PRCP,2009-11-15T00:00:00,GHCND:USW00013897,0
",,0,",SNOW,2009-11-15T00:00:00,GHCND:USW00013897,0
"T,,0,2400",PRCP,2009-11-16T00:00:00,GHCND:USW00014820,0
",,0,",SNOW,2009-11-16T00:00:00,GHCND:USW00014820,0
",,0,2400",PRCP,2009-11-19T00:00:00,GHCND:USW00013881,5
",,0,",SNOW,2009-11-19T00:00:00,GHCND:USW00013881,0
",,0,2400",PRCP,2009-11-22T00:00:00,GHCND:USW00093721,0
",,0,",SNOW,2009-11-22T00:00:00,GHCND:USW00093721,0
",,0,0600",PRCP,2009-11-22T00:00:00,GHCND:USW00023062,0
",,0,",SNOW,2009-11-22T00:00:00,GHCND:USW00023062,0
",,0,2400",PRCP,2009-11-22T00:00:00,GHCND:USW00014898,0
",,0,",SNOW,2009-11-22T00:00:00,GHCND:USW00014898,0
",,W,",PRCP,2009-11-22T00:00:00,GHCND:USW00093837,5
",,0,2400",PRCP,2009-11-22T00:00:00,GHCND:USC00190860,0
",,0,",SNOW,2009-11-22T00:00:00,GHCND:USC00190860,0
",,0,2400",PRCP,2009-11-22T00:00:00,GHCND:USW00014734,0
",,0,",SNOW,2009-11-22T00:00:00,GHCND:USW00014734,0
",,W,",PRCP,2009-11-22T00:00:00,GHCND:USW00023230,0
",,0,2400",PRCP,2009-11-22T00:00:00,GHCND:USW00012842,5
",,0,",SNOW,2009-11-22T00:00:00,GHCND:USW00012842,0
",,0,0600",PRCP,2009-11-26T00:00:00,GHCND:USW00023062,0
",,0,",SNOW,2009-11-26T00:00:00,GHCND:USW00023062,0
",,0,2400",PRCP,2009-11-29T00:00:00,GHCND:USW00093721,0
",,0,",SNOW,2009-11-29T00:00:00,GHCND:USW00093721,0
",,0,2400",PRCP,2009-11-29T00:00:00,GHCND:USW00014734,0
",,0,",SNOW,2009-11-29T00:00:00,GHCND:USW00014734,0
",,0,2400",PRCP,2009-11-29T00:00:00,GHCND:USW00013739,0
",,0,",SNOW,2009-11-29T00:00:00,GHCND:USW00013739,0
"T,,W,",PRCP,2009-11-29T00:00:00,GHCND:USW00093107,0
",,0,2400",PRCP,2009-11-29T00:00:00,GHCND:USW00023234,0
",,0,2400",PRCP,2009-11-29T00:00:00,GHCND:USW00013897,15
",,0,",SNOW,2009-11-29T00:00:00,GHCND:USW00013897,0
",,0,2400",PRCP,2009-12-06T00:00:00,GHCND:USW00013881,0
",,0,",SNOW,2009-12-06T00:00:00,GHCND:USW00013881,0
",,0,2400",PRCP,2009-12-06T00:00:00,GHCND:USW00014820,0
",,0,",SNOW,2009-12-06T00:00:00,GHCND:USW00014820,0
",,W,",PRCP,2009-12-06T00:00:00,GHCND:USW00093837,0
"T,,0,2400",PRCP,2009-12-06T00:00:00,GHCND:USW00012839,0
